IRI,label,def
DASH-Onto_0000039,Project decision,"A process that takes the results of site Feasibility Reviews and, based on discussions with the project research group, comes to a final decision on whether a project should proceed to a formal data access request and governance review."
DASH-Onto_0000043,Project publication drafting,A process by which project research group members include a project analysis data output into an artefact for release to the wider interested community.
DASH-Onto_0000062,Project publication review,A review conducted by a organisation team to evaluate whether a project publication candidate can be made available outside the project research group.
DASH-Onto_0000036,Project research group activity,
DASH-Onto_0000082,Project research group orientation validation,A project research group activity by which one or more project research group members demonstrate knowledge of the requirements that a data custodian places on the use and handling of D-SPD provided to ensure continued good governance of that D-SPD and associated project analysis and publication.
DASH-Onto_0000073,Project submission,
DASH-Onto_0000044,Review,A process in which a set of artefacts are used by an organisation team to establish whether a condition required by a process is met.
DASH-Onto_0000061,Scientific assessment review,An application element review which ensures that appropriate documentation arising from a Scientific Peer review assessment was submitted as part of an application process.
DASH-Onto_0000015,Scored data custodian cost,A resource and cost valuation by a DASH based on aggregate data associated with similar projects performed in the past by that DASH.
DASH-Onto_0000081,Send signal,A planned process by which a plan entity sends a specific signal to a specified channel.
DASH-Onto_0000070,TEA Agreement,
DASH-Onto_0000005,TEA Agreement drafting,A process which has as expected output a draft of a legal agreement  between a PRG and a TEA provider.
DASH-Onto_0000063,TEA Agreement resource and cost review,A resource and cost review which finalises costs and resource use for inclusion within a legal agreement between a PRG and a TEA provider.
DASH-Onto_0000064,TEA Agreement review,
DASH-Onto_0000008,TEA Agreement signature,An agreement signature where the required parties are those data custodians contributing to the TEA and a project research group.
DASH-Onto_0000071,TEA Governance,
DASH-Onto_0000072,TEA Project feasibility,
DASH-Onto_0000066,TEA eligibility review,An eligibility review performed by a TEA provider which uses custodian-defined governance criteria to establish the right of the project research group to have a project protocol evaluated by that TEA provider.
DASH-Onto_0000067,TEA estimated resource and cost review,A resource and cost review which estimates the costs and resources expected to be used by a TEA provider in the fulfilment of a project protocol.
DASH-Onto_0000065,TEA feasibility review,
DASH-Onto_0000068,TEA support review,A requested services review performed by a TEA provider.
DASH-Onto_0000069,Trusted Environment for Analysis activity,
DASH-Onto_0000080,Wait for signal,A planned process by which a plan entity waits until a specific signal is available through a specified channel; then ends.
